segmento;frecuencia;transaccionalidad;ingreso
cliente estrella;ALTO;ALTO;ALTA
cliente fiel;ALTO;ALTO;MEDIA
cliente fiel;ALTO;ALTO;BAJA
cliente fiel;ALTO;MEDIO;ALTA
cliente fiel;ALTO;BAJO;ALTA
cliente fiel;MEDIO;ALTO;ALTA
cliente fiel;BAJO;ALTO;ALTA
cliente recurrente;ALTO;MEDIO;MEDIA
cliente recurrente;ALTO;MEDIO;BAJA
cliente recurrente;ALTO;BAJO;MEDIA
cliente recurrente;MEDIO;ALTO;MEDIA
cliente recurrente;MEDIO;ALTO;BAJA
cliente recurrente;MEDIO;MEDIO;ALTA
cliente recurrente;MEDIO;MEDIO;MEDIA
cliente recurrente;MEDIO;MEDIO;BAJA
cliente recurrente;MEDIO;BAJO;MEDIA
cliente recurrente;BAJO;MEDIO;MEDIA
cliente inconsistente;ALTO;BAJO;BAJA
cliente inconsistente;MEDIO;BAJO;ALTA
cliente inconsistente;MEDIO;BAJO;BAJA
cliente inconsistente;BAJO;ALTO;MEDIA
cliente inconsistente;BAJO;ALTO;BAJA
cliente inconsistente;BAJO;MEDIO;ALTA
cliente inconsistente;BAJO;MEDIO;BAJA
cliente inconsistente;BAJO;BAJO;ALTA
cliente inconsistente;BAJO;BAJO;MEDIA
cliente inactivo;BAJO;BAJO;BAJA
